PADI4	 HIST1H4A,TP53,CA2,HIST3H3,DNPEP,HDAC1,HDAC2,HIST2H3A,HIST2H3D,APP
PADI6	 CA2
RCC2	 MAPRE1,TUBB4B,XPO1,APOE,KIF2A,CCT4,TUBA1B,SMC3,NUDC,SKA1
ARHGEF10L	 ANXA9,NR4A1,SCN2A,DRAP1,RHOA
ACTL8	 UBC
IGSF21	 PSMD11,CRCT1,PAEP,ERH,UBE2V2,BCR,PAFAH1B3,DGKD,MAD2L1BP,ANXA3
PAX7	 MYOG,FOXO1,CDH1,FGF8,HIRA,NOTCH1,ASH2L,SMAD1,TCF7L1,MITF
TAS1R2	 TAS1R3,PTH1R,TRADD,VLDLR,NPR1,GABRG1,KCTD8,EGFR,RET,NOTCH1
ALDH4A1	 ARG1,ALDH4A1,APP,MAP2K6,UBC,PLAA
IFFO2	 UBC
UBR4	 PRPF40A,ITGA4,SNRNP200,FLNB,MCRS1,SRGN,BIRC3,BIRC2,USP9X,GRB2
EMC1	 TSC22D1,FLOT1,FKBP10,MAN2B1,CD36,GLG1,P4HA1,L1CAM,FKBP9,NCEH1
MRTO4	 RPL35,RPL23A,BRIX1,RPL27A,GTPBP4,RSL24D1,RPL8,RPL5,RPL31,RPF1
AKR7A3	 AKR7A2,AKR7A3,BAG3,KPNB1,TMEM50A,NXT2,KPNA6,TERF2IP
AKR7A2	 AKR7A3,AKR7A2,TRIM63,FXYD2,FOS,HLA-B,UBC,ITGA4,CREB1,JUN
CAPZB	 CAPZA1,CAPZA2,HSPA8,MTPN,ARPC3,ACTR3,FAM21C,LRRFIP2,DYNLL1,RPL12
MINOS1	 HSPA9,FECH,CHCHD3,C1QBP,MAPK1,MTX2,MTX1,DNAJC11,RMDN1,COA7
NBL1	 UBQLN1,BAG6
HTR6	 HTR2A,GNAS,COPS5,HTR2C,PTH1R,RXFP2,GHRHR,GHRH,RAMP2,PTH2R
TMCO4	 TMC4,ANXA2,MAN2C1,TMEM245,SCARB1,SERPINB12,ATP6V1E1,ROBO4,KIAA1524,S100A9
RNF186	 UBE2H,UBE2D2,UBD,BNIP1,UBC
OTUD3	 UBC
PLA2G2E	 GNAQ,GNAS,PRKCA,GNAO1,PRKCB,PRKCG,PRKCD,GNAZ,PLCG2,MAPK3
PLA2G2A	 PLA2G2A,PLA2G1B,DCN,CRMP1,ALOX12,TNF,VCAN,CEP70,USP8,BAG6
PLA2G5	 PLA2G4A,ANXA1,GNAQ,GNAS,PRKCA,GNAO1,PRKCB,PRKCG,PRKCD,GNAZ
PLA2G2D	 IL6,PRKCB,GNAQ,GNAS,PRKCA,GNAO1,PLCG2,PRKCG,PRKCD,GNAZ
PLA2G2F	 GNAQ,GNAS,PRKCA,GNAO1,PRKCB,PRKCG,PRKCD,GNAZ,PLCG2,MAPK3
PLA2G2C	 GNAQ,GNAS,PRKCA,GNAO1,PRKCB,PRKCG,PRKCD,GNAZ,PLCG2,MAPK3
UBXN10	 VCP,PRMT6,NPLOC4,UFD1L,APP
CAMK2N1	 GRIN2B,NR3C1
MUL1	 APPBP2,TAP1,UBE2I,SUMO1,UBE2E1,UBE2D4,UBE2D2,UBE2E3,UBE2D1,UBE2D3
FAM43B	 UBC
CDA	 CASP10,CASP12,CASP14,CASP16,DCK,CASP6,CASP7,CASP4,CASP5,CASP2
PINK1	 IFNG,IL2,IL5,IL10,PARK2,IL4,TNF,PARK7,HSP90AB1,CXCL9
DDOST	 STT3B,RPN1,MAGT1,RPN2,SSR3,SSR4,STT3A,SRSF11,RPS3,RPS26
KIF17	 GFI1B,KIFAP3,ERVK-5,KIF5A,KIF5B,KIF5C,KIF3A,KIF3B,IFT20,DNAH11
SH2D5	 ERBB2,GRB2
HP1BP3	 HIST1H4A,PRMT5,H2AFY,ITGA4,HIST1H2BD,TOP1,RPS24,HIST1H1A,HIST1H1B,HIST1H1C
EIF4G3	 EIF4E,EIF4A1,EIF4A2,INS,PABPC1,EIF4EBP1,EIF4G1,EIF4E2,CASP10,CASP12
ECE1	 EDN1,MME,EPHB2,DDR1,FKBP10,NOS2,TNF,MYOC,NOS1,NOS3
NBPF3	 TSEN15,EWSR1,UBD,ANK1,UBC,APP
ALPL	 TRAF2,STX6,MAP3K14,VTI1A,TRAF3,BMP7,NFKBIA,ENPP1,COL4A6,COL4A5
RAP1GAP	 RAP1B,RAP1GAP,MLLT4,MEX3B,GNAZ,PFN2,ACD,POT1,XRCC5,XRCC6
USP48	 USP21,ZFR,USP20,RBM8A,UACA,MARK1,MARK2,MARK3,ZC3HAV1,PRKCI
HSPG2	 CA2,EGF,PLD4,PLD5,PLD6,PLD2,PLD1,PLD3,EPHB2,INS
CELA3B	 CPA1,CPA5
CELA3A	 CPA1,CREB3,CPA5
CDC42	 RAC1,PAK1,RHOA,RHO,PAK2,RAC2,PAK4,PAK7,PAK3,CDC6
WNT4	 CTNNB1,DKK1,TCF4,TCF7,TCF3,LRP6,TCF15,TCF19,TCF25,TCF12
ZBTB40	 BAG3,ASXL2,ITCH,SUMO2,KAT2A,LATS2,MED1,DHX30,BAZ2B,PIK3CG
EPHA8	 PIK3CG,MAPK3,EFNA5,EFNA3,EFNA2,EPHA2,MAPK15,DARS2,MAPK10,MAPK11
C1QA	 TNF,C1S,C1R,C1QC,HIPK3,IL8,FN1,IFNG,CDC73,CCL2
C1QC	 C1QB,C1QA,FN1,C1QC,APOA1,C4A,C4B,C2,C1S,C1R
C1QB	 TNF,C1S,C1R,C1QC,IL8,IFNG,CDC73,CCL2,CDC16,C4A
EPHB2	 EGF,TNF,MAPK3,MAPK1,EGFR,IRF6,INS,MAPK7,MAPK15,MAPK14
KDM1A	 RCOR1,PHF21A,AR,HMG20B,CHD4,GTF2I,ZNF516,ZMYM3,ASCC2,ATP5J2
LUZP1	 HIST1H4A,SYNPO,HSPA5,NELFB,HSPA8,SRSF10,DBN1,GAPVD1,GRWD1,LARP1
HTR1D	 S1PR1,HTR1A,HTR1B,HTR1D,ADCY4,ADCY6,ADCY7,ADCY5,ADCY1,ADCY2
HNRNPR	 EFTUD2,HNRNPA1,SNRNP200,SRSF1,SF3B1,HNRNPK,HNRNPC,DHX9,PRPF8,SF3A2
ZNF436	 TP53,KDM1A,NGF,FOS,SUV39H1,PRMT6,JUN,PRMT5,TNF,CREB1
TCEA3	 RPH3AL
ASAP3	 CRK,ARF6,ASAP3,MAP4K5,IKBKG,EDC4,ABL2,UBASH3A,EPS15,UBASH3B
E2F2	 RB1,PCNA,TP53,E2F1,CDK2,CDK4,CDKN1A,RBL1,CDK1,CDKN2A
ID3	 BMP6,BMP4,BMP7,BMP5,BMP3,BMP2,BMP1,BMP10,BMP15,TMED7
RPL11	 TP53,RPL23A,RPL10,RPL19,RPL23,RPL24,RPL27A,RPL10A,RPS4X,RPL14
PITHD1	 CDC73,SUMO4,UBC
LYPLA2	 SCMH1,MED31,DKC1,INS,ITGA4,ALB,COA5,COA4,COA6,COA1
GALE	 GALE,NCBP1,HSPA5,ANP32B,PDCD10,SUPT5H,NAPG,NAPA,DIMT1,DIAPH1
HMGCL	 MS4A7,DNAJA1,HMGCL,RNF126,ARL6IP1,GTF2B,ADAMTS10,HES1,PEX5
FUCA1	 VCL,USP21,MARK2,VAV2,CEP85L,SNTB2,KIF5B,CLASP2,GPRASP1,RBM8A
CNR2	 CNR1,WAS,MAPK3,NOS2,ADCY5,IRF6,MAPK1,AKT1,AKT2,AKT3
PNRC2	 DCP1A,ESRRG,RARA,ZBTB16,RARG,RORA,NR5A2,ESRRA,ESR2,HNF4G
SRSF10	 TRA2A,SNRNP70,FUS,YWHAG,SREK1,PHGDH,YWHAB,SMU1,SYNPO,HSPA8
MYOM3	 ASH2L,AMOT
IL22RA1	 IL22,STAT3,IL24,TYK2,STAT1,JAK1,IL20RB,IL10RA,IL10RB,IL20
IFNLR1	 NAA38,IFNL2,IFNL1,IFNL3,CBLC,CBLB,SOCS3,IL10RB,SOCS4,SOCS2
GRHL3	 GRHL1,GRHL2,GRHL3,PRMT1,PRMT6,PRMT5,SP1,TAF1
RCAN3	 TNNI3
SRRM1	 RNPS1,RBM8A,EFTUD2,PRPF8,ALYREF,SNRNP200,SRSF4,SRRM2,DEK,PLRG1
CLIC4	 TNF,TGFB1,DNM1,REL,HSP90AB1,MYC,TP53,ACTB,CLCA3P,FXYD3
RUNX3	 TGFB1,RUNX1,CD4,TGFB2,BMP2,TGFB3,BMP15,CDKN1A,BMP10,IL4
SYF2	 DHX38,PLRG1,CRNKL1,CDC40,CDC5L,XAB2,SNRPB,PRPF19,PPIL1,DHX15
RSRP1	 CLK3,PRMT5,DEXI,ELOF1,EPB41L4A,CCDC28A,FAM71C,ANAPC15,C12orf45,EIF1AY
RHD	 BAZ1B
TMEM50A	 C7orf43,AKR7A3,C12orf4,UBC,RANBP9
TMEM57	 SMAD9,WNT3,WNT2,WNT1,WNT6,WNT4,WNT16,WNT11,RXRB,UBC
LDLRAP1	 LDLR,LRP2,CLTC,AP2B1,TFAP2A,NEFM,NEFH,INA,DLGAP2,NEFL
MAN1C1	 SMAD9,MAN2C1,MAN2A2,MAN2B1
MTFR1L	 UBC
AUNIP	 PRMT6
PAQR7	 UBC
STMN1	 CDKN1B,UBQLN4,TP53,HSPA5,HSPA8,MAPK3,MYLIP,SEPT2,TUBB4B,TUBB1
EXTL1	 SDR16C5,GRB2
SLC30A2	 CREB3
TRIM63	 TRIM63,TRIM54,TRIM55,FOXO1,TTN,FOXO3,SUMO2,MYL2,USP13,IGF1
PDIK1L	 CCND1,CDKN1B,HSP90AB1,TNF,UBC,HSP90AA1
ZNF593	 TP53,NGF,EIF6,GNL2,RPF2,MAP3K7,RAB1A,SDAD1,NSA2,GTPBP4
CNKSR1	 SMAD4,RHOA,CYTH3,RHPN1,RASSF1,MAP2K7,RAF1,ARHGEF1,RALGDS,STK3
